"id"	"title"	"link"	"price"	"description"	"condition"	"image_link"	"category"
"P18006A "	"Pear Rose Gold Brilliant Yellow Pearl Diamond Pendant"	"http://www.avianneandco.com/store/catalog/product/view/id/8988/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"784.0000"	"This shimmering 14K rose gold pendant is pear shaped with a luminous yellow pearl attached to the bottom. Brilliant round cut, prong set diamonds sparkle from the pear shaped bail."	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/1/p18006aa.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants>Root Catalog>Womens>Pearl Jewelry>Root Catalog>Womens>Pearl Jewelry>Pearl Diamond Jewelry>Root Catalog>Womens>Pearl Jewelry>Pearl Pendants "
"P2140A "	"Chocolate Pearl Diamond Gemstone Pendant in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8989/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"729.0000"	"A bold look to complement your style! This simply beautiful pendant features an eye catching chocolate pearl surrounded by shimmering round cut diamonds in a handcrafted 14k white gold setting. The color of the diamonds are G/H and the clarity is SI1/SI2. *This pendant comes with a free 18 inch silver necklace."	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/2/p2140aa.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants>Root Catalog>Womens>Pearl Jewelry>Root Catalog>Womens>Pearl Jewelry>Pearl Diamond Jewelry>Root Catalog>Womens>Pearl Jewelry>Pearl Pendants "
"PB1564A "	"Pearl Diamond Gemstone Pendant in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8990/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"119.0000"	"This beautiful pendant features a unique design covered in brilliant round cut diamonds leading to a lovely oval shaped white pearl. The color of the diamonds are G/H and the clarity is SI2/SI3. *This pendant comes with a free 18 inch silver necklace."	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/b/pb1564aa.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants>Root Catalog>Womens>Pearl Jewelry>Root Catalog>Womens>Pearl Jewelry>Pearl Diamond Jewelry>Root Catalog>Womens>Pearl Jewelry>Pearl Pendants "
"GP1648 "	"Pearl Blue Topaz Diamond Gemstone Pendant in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8991/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"209.0000"	"This amazing pendant features a beautiful sky blue topaz gemstone in a 4 prong setting surrounded by brilliant round cut diamonds and a lovely round white pearl. The color of the diamonds are G/H *This pendant comes with a free 18 inch silver necklace."	"new"	"http://www.avianneandco.com/store/media/catalog/product//g/p/gp1648a.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants>Root Catalog>Womens>Pearl Jewelry>Root Catalog>Womens>Pearl Jewelry>Pearl Diamond Jewelry>Root Catalog>Womens>Pearl Jewelry>Pearl Pendants "
"GP419 "	"Pearl Citrine Pink Tourmaline Diamond Gemstone Pendant in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8992/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"299.0000"	"This elegant piece of jewelry features lovely round and oval cut citrine and pink tourmaline gemstones surrounded by brilliant round cut diamonds and a beautiful oval shaped white pearl. The color of the diamonds are G/H and the clarity is SI2/SI3. *This pendant comes with a free 18 inch silver necklace.
"	"new"	"http://www.avianneandco.com/store/media/catalog/product//g/p/gp419a.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants>Root Catalog>Womens>Pearl Jewelry>Root Catalog>Womens>Pearl Jewelry>Pearl Diamond Jewelry>Root Catalog>Womens>Pearl Jewelry>Pearl Pendants "
"GP1272B "	"Pearl Blue Topaz Yellow Quartz Diamond Gemstone Pendant in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8993/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"279.0000"	"This beautiful pendant features checkerboard cut blue topaz and yellow quartz gemstones surrounded by brilliant round cut diamonds and round shaped white pearls. The color of the diamonds are G/H and the clarity is SI2/SI3. *This pendant comes with a free 18 inch silver necklace."	"new"	"http://www.avianneandco.com/store/media/catalog/product//g/p/gp1272ba.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants>Root Catalog>Womens>Pearl Jewelry>Root Catalog>Womens>Pearl Jewelry>Pearl Diamond Jewelry>Root Catalog>Womens>Pearl Jewelry>Pearl Pendants "
"P1993P "	"Chocolate Pearl Diamond Gemstone Pendant in Rose Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8994/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"739.0000"	"Be the talk of the town with this amazing piece of jewelry! This exquisite pendant features a stunning oval shaped peridot surrounded by brilliant round cut diamonds and a beautiful round chocolate pearl. The color of the diamonds are G/H and the clarity is SI1/SI2. *This pendant comes with a free 18 inch silver necklace."	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/1/p1993pa.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants>Root Catalog>Womens>Pearl Jewelry>Root Catalog>Womens>Pearl Jewelry>Pearl Diamond Jewelry>Root Catalog>Womens>Pearl Jewelry>Pearl Pendants "
"GP419A "	"Rose Pearl Diamond Gemstone Pendant in Yellow Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8995/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"299.0000"	"A beautiful rose pearl sits in a 14k white gold setting surrounded by brilliant round cut diamonds. The pendant also has round white topaz and an oval shaped green garnet gemstone sitting in a 4 prong setting. The color of the diamonds are G/H and the clarity is SI2/SI3. *This pendant comes with a free 18 inch silver necklace."	"new"	"http://www.avianneandco.com/store/media/catalog/product//g/p/gp419aa.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants>Root Catalog>Womens>Pearl Jewelry>Root Catalog>Womens>Pearl Jewelry>Pearl Diamond Jewelry>Root Catalog>Womens>Pearl Jewelry>Pearl Pendants "
"PB2199 "	"Lemon Quartz Diamond Gemstone Pendant in Yellow Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8996/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"159.0000"	"This simple design features a lovely 1.68ct marquise cut lemon quartz gemstone in a 2 prong setting with a row of diamonds on the bail. The color of the diamonds are G/H and the clarity is SI2/SI3. *This pendant comes with a free 18 inch silver necklace."	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/b/pb2199a.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"
"GP0077 "	"Sapphire Diamond Designer Gemstone Pendant in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8997/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"319.0000"	"This elegant design features round cut sapphires in a lovely cluster setting in the center surrounded by a twine pattern covered in brilliant round cut diamonds. The color of the diamonds are G/H and the clarity is SI2/SI3. *This pendant comes with a free 18 inch silver necklace."	"new"	"http://www.avianneandco.com/store/media/catalog/product//g/p/gp0077a.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"
