"Category ID"	"Manufacturer"	"Title"	"Description"	"Product URL"	"Image URL"	"SKU"	"Availability"	"Condition"	"Price"	"category"	"link"	"image_link"
"Diamond Bracelet"	"Bezel"	"14K Yellow Gold Womens Diamond Tennis Bracelet 0.95 Ctw"	"This elegantly designed womens diamond bracelet is bezel set with small round cut diamonds. The frame is crafted in highly polished 14K Yellow Gold and securely locks with a slide in clasp with one safety latch from the side. This exquisite womens diamond bracelet bracelet gleams with simplicity and sophistication."	"14k-yellow-gold-womens-diamond-bracelet-0-95-ctw.html"	"/b/r/br-22-1.jpg"	"BR-22"	"Enabled"	"new"	"1417.0000"	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets>Root Catalog>Womens>Bracelets>Diamond Tennis Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/1608/s/14k-yellow-gold-womens-diamond-bracelet-0-95-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br-22-1.jpg"
"Diamond Bracelet"	"Invisible"	"14K Yellow Gold Womens Diamond Bracelet 1.00 Ctw"	"This elegant womens diamond bracelet is crafted in highly polished 14K Yellow Gold. Small princess cut diamonds are invisibly set across the bracelet, totaling to 1.00 carats. The frame of this alluring womens diamond bracelet  securely locks with a slide in clasp with one safety latch from the side. "	"14k-yellow-gold-womens-diamond-bracelet-1-00-ctw-1.html"	"/b/r/br0101-1.jpg"	"BR0101"	"Enabled"	"new"	"1659.0000"	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/1609/s/14k-yellow-gold-womens-diamond-bracelet-1-00-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br0101-1.jpg"
"Diamond Bracelet"	"Bezel"	"14K Yellow Gold Womens Diamond Bracelet 1.00 Ctw"	"This uniquely designed womens diamond bracelet is bezel set with ten round cut diamonds. The frame is crafted in 14K Yellow Gold and securely locks with a slide in hidden clasp with one safety latch on the side. This lovely womens diamond bracelet weighs approximately 14 grams. "	"14k-white-gold-womens-diamond-bracelet-1-00-ctw-2.html"	"/b/r/br138-1.jpg"	"BR138"	"Enabled"	"new"	"1334.0000"	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/1610/s/14k-white-gold-womens-diamond-bracelet-1-00-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br138-1.jpg"
"Diamond Bracelet"	"Prong"	"18K Yellow Gold Womens Diamond Bracelet 0.38 Ctw"	"This exquisite womens diamond bracelet is crafted in highly polished 18K Yellow Gold. Two yellow gold links are attached to one prong set round cut diamond. Fifteen prong set round cut diamonds are featured on a white gold frame. The frame locks with a hidden clasp and one safety latch for extra security. Express your sense of style and elegance with this alluring womens diamond bracelet which weighs approximately 14 grams. "	"18k-yellow-gold-womens-diamond-bracelet-0-38-ctw.html"	"/b/r/br1250-1.jpg"	"BR1250"	"Enabled"	"new"	"1250.0000"	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/1611/s/18k-yellow-gold-womens-diamond-bracelet-0-38-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br1250-1.jpg"
"Diamond Bracelet"	"Pave"	"14K Yellow Gold Womens Diamond Bracelet 1.66 Ctw"	"This alluring womens diamond bracelet is crafted in highly polished 14K Yellow Gold. Eleven flowers are carved out across the fame and outlined with brilliant pave set round cut diamonds. It locks with a hidden slide in clasp with two safety latches for extra security. Showcase your sense of fashion and elegance with this exquisite womens diamond bracelet which weighs approximately 12.4 grams.  "	"14k-yellow-gold-womens-diamond-bracelet-1-66-ctw.html"	"/t/1/t10363d-1.jpg"	"T10363D"	"Enabled"	"new"	"1459.0000"	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/1612/s/14k-yellow-gold-womens-diamond-bracelet-1-66-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//t/1/t10363d-1.jpg"
"Diamond Bracelet"	"Prong "	"14K White Gold Womens Diamond Tennis Bracelet 1.25 Ctw"	"This lovely womens diamond tennis bracelet is crafted i lustrous 14K White Gold. Small round cut diamond are carefully prong set across the 7 1/4 Inch bracelet. It securely locks with a slide in clasp with one safety latch on a side. This charming diamond tennis bracelet  is ideal for an every day casual wear. "	"14k-white-gold-womens-diamond-bracelet-1-25-ctw.html"	"/b/r/br-63-1.jpg"	"BR-63"	"Enabled"	"new"	"1084.0000"	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets>Root Catalog>Womens>Bracelets>Diamond Tennis Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/1618/s/14k-white-gold-womens-diamond-bracelet-1-25-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br-63-1.jpg"
"Diamond Bracelet"	"Bezel"	"14K White Gold Womens Diamond  Bracelet 0.20 Ctw"	"This charming womens  bracelet is crafted in lustrous 14K White Gold. Seven lovely flowers are bezel set with seven small round cut diamonds which are placed across a 7 1/4 Inch bracelet. It locks with a slide in hidden clasp with one safety latch from one side for extra security. This finely detailed womens diamond bracelet weighs approximately 7.3 grams. "	"14k-white-gold-womens-diamond-flower-bracelet-0-20-ctw.html"	"/b/r/br1150-1.jpg"	"BR1150"	"Enabled"	"new"	"659.0000"	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/1620/s/14k-white-gold-womens-diamond-flower-bracelet-0-20-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br1150-1.jpg"
"Diamond Bracelet"	"Prong "	"18K White Gold Womens Diamond Tennis Bracelet 1.71 Ctw"	"This delicate womens diamond tennis bracelet is crafted in highly polished 18K White Gold. Small round cut diamonds are prong set across the 7 1/8 Inch bracelet which weighs approximately 6.2 grams. It securely locks with a durable slide in clasp with two safety latches from opposite sides. "	"18k-white-gold-womens-diamond-bracelet-1-71-ctw.html"	"/b/m/bm180-1.jpg"	"BM180"	"Enabled"	"new"	"1500.0000"	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets>Root Catalog>Womens>Bracelets>Diamond Tennis Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/1624/s/18k-white-gold-womens-diamond-bracelet-1-71-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/m/bm180-1.jpg"
"Diamond Bracelet"	"Square Prong "	"18K White Gold Womens Diamond Bracelet 1.95 Ctw"	"This delicate womens diamond bracelet is crafted in highly polished 18K White Gold. Small round cut diamonds are prong set across the 7 1/8 Inch bracelet which weighs approximately 5.4 grams. It securely locks with a durable slide in clasp with two safety latches from opposite sides. This one of a kind womens diamond bracelet gleams with sophistication and loveliness. "	"18k-white-gold-womens-diamond-bracelet-1-71-ctw-1.html"	"/b/m/bm188-11.jpg"	"BM188"	"Enabled"	"new"	"1667.0000"	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/1625/s/18k-white-gold-womens-diamond-bracelet-1-71-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/m/bm188-11.jpg"
"Diamond Bracelet"	"Pave"	"14K White Gold Womens Diamond Bracelet 1.46 Ctw"	"This elegant womens diamond bracelet is crafted in lustrous 14K White Gold. Small pave set round cut diamonds are carefully placed across the 7 Inch bracelet. This white gold womens diamond bracelet securely locks with a slide in clasp with one safety latch. "	"14k-white-gold-womens-diamond-bracelet-1-46-ctw.html"	"/t/1/t12326d-1.jpg"	"T12326D"	"Enabled"	"new"	"1417.0000"	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/1627/s/14k-white-gold-womens-diamond-bracelet-1-46-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//t/1/t12326d-1.jpg"
