"SKU "	"ProductName "	"Description "	"ItemType"	"MainImageURL "	"length"	"TotalDiamondWeight "	"gemstonecarat"	"MetalType "	"MetalStamp "	"SettingType "	"MSRP "	"ItemPrice "	"width"	"weight"	"earringback"	"StoneColor1 "	"StoneClarity1"	"StoneShape1"	"category"	"link"	"image_link"
"BSC8518"	"14K White Gold Womens Diamond Bracelet 0.23 Ctw"	"This exquisite womens diamond bracelet is adorned with brilliant round cut diamonds. The artistically designed 14K White Gold frame securely locks with a hidden slide in clasp. This one of a kind womens diamond bracelet is an ideal  accessory for a special night out."	"Diamond Bracelet"	"/b/s/bsc8518-2.jpg"	"7 1/2 Inches (190 mm)"	"0.23 Ctw"	""	"White"	"14K Gold"	"Pave "	"3625.0000"	"1209.0000"	"1/2 Inches (12.7 mm)"	"1.0000"	""	"H , I"	"SI2 , SI3"	"Round "	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/2047/s/14k-white-gold-womens-diamond-bracelet-0-23-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/s/bsc8518-2.jpg"
"S9345A"	"14K White Gold Womens Diamond Bracelet 0.53 Ctw"	"This uniquely designed womens diamond bracelet is adorned with brilliant small round cut diamonds which are carefully placed on pave settings. The 14K White Gold frame measures to approximately 7 1/4 in in length and securely locks with a slide in clasp and two safety latches from opposite sides. This ideal womens diamond bracelet is a perfect accessory for an every day apparel. "	"Diamond Bracelet"	"/s/9/s9345a-2.jpg"	"7 1/4 Inches (184.5 mm)"	"0.53 Ctw"	""	"White"	"14K Gold"	"Pave"	"2140.0000"	"714.0000"	"1/4 Inches (6.3 mm)"	"1.0000"	""	"H , I"	"SI1 , SI3"	"Round "	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/2048/s/14k-white-gold-womens-diamond-bracelet-0-53-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//s/9/s9345a-2.jpg"
"BSC8120"	"14K White Gold Womens Diamond Bracelet 0.63 Ctw"	"This elegant womens diamond bracelet is crafted in highly polished 14k White Gold. The frame is pave set with numerous small round cut diamonds which are held by pave settings. This one of a kind womens diamond bracelet securely locks with a hidden slide in clasp and two safety latches. "	"Diamond Bracelet"	"/b/s/bsc8120-2.jpg"	"7 1/2 Inches (190 mm)"	"0.63 Ctw"	""	"White"	"14K Gold"	"Pave"	"3555.0000"	"1185.0000"	"1/4 Inches (6.3 mm)"	"1.0000"	""	"H , I"	"SI1 , SI3"	"Round "	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/2049/s/14k-white-gold-womens-diamond-bracelet-0-63-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/s/bsc8120-2.jpg"
"BT015595"	"14K White Gold Womens Diamond Bracelet 1.78 Ctw"	"This exclusive womens diamond bracelet is adorned with brilliant small round cut diamonds. The artistically designed frame is crafted in 14K White Gold and securely locks with a slide in clasp and two safety latches. This one of a kind womens diamond bracelet is an ideal addition to your diamond collection."	"Diamond Bracelet"	"/b/t/bt015595-2.jpg"	"7 Inches (177.8 mm)"	"1.78 Ctw"	""	"White"	"14K Gold"	"Pave, Bezel "	"4475.0000"	"1492.0000"	"1/2 Inches (12.7 mm)"	"1.0000"	""	"H , I"	"SI2 , SI3"	"Round "	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/2050/s/14k-white-gold-womens-diamond-bracelet-1-78-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/t/bt015595-2.jpg"
"E7432"	"14K White Gold Womens Diamond Tennis Bracelet 6.27 Ctw"	"This exquisite womens diamond bracelet is adorned with numerous small round cut diamonds. The frame is crafted in highly polished 14K White Gold and securely locks with a hidden slide in clasp and two safety latches. This one of a kind womens diamond bracelet is an ideal accessory for a special night out. "	"Diamond Bracelet"	"/e/7/e7432-2.jpg"	"7 Inches (177.8 mm)"	"6.27 Ctw"	""	"White"	"14K Gold"	"Bezel"	"19500.0000"	"6500.0000"	"1/4 Inches (6.3 mm)"	"1.0000"	""	"G , H"	"VS1 , VS2"	"Round "	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets>Root Catalog>Womens>Bracelets>Diamond Tennis Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/2051/s/14k-white-gold-womens-diamond-bracelet-6-27-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//e/7/e7432-2.jpg"
"B5901"	"18K White Gold Womens Diamond Bracelet 2.38 Ctw"	"This elegantly designed womens diamond bracelet is adorned with brilliant round cut diamonds which are held by bezel and pave settings. The frame is crafted in 18K White Gold and measures to approximately 7 1/4 Inches in length. "	"Diamond Bracelet"	"/b/5/b5901-2.jpg"	"7 1/4 Inches (184 mm)"	"2.38 Ctw"	""	"White"	"18K Gold"	"Pave, Bezel "	"10145.0000"	"3382.0000"	"1/4 Inches (6.3 mm)"	"1.0000"	""	"G , H"	"SI1 , SI2"	"Round "	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/2052/s/18k-white-gold-womens-diamond-bracelet-2-38-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/5/b5901-2.jpg"
"BR9751"	"14K White Gold Mens Diamond Hip Hop Bracelet 3.50 Ctw"	"This exquisite mens diamond bracelet is crafted in 14K White Gold. The links are adorned with small round cut diamonds which are held by prong settings. The frame securely locks with a hidden clasp and one safety latch and weighs approximately 9 grams. This finely detailed mens diamond bracelet is an ideal accessory for a special night out. "	"Diamond Bracelet"	"/i/m/im-1_66.jpg"	"9 1/4 Inches (234 mm)"	"3.50 Ctw"	""	"White"	"14K Gold"	"Prong "	"17500.0000"	"5834.0000"	"3/4 Inches (19 mm)"	"1.0000"	""	"H , I"	"SI2 , SI3"	"Round "	"Root Catalog>Mens>Root Catalog>Mens>Bracelets>Root Catalog>Mens>Hip Hop Jewelry>Root Catalog>Mens>Hip Hop Jewelry>Diamond Hip Hop Bracelets>Root Catalog>Mens>Bracelets>Mens Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/2205/s/14k-white-gold-mens-diamond-bracelet-3-50-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_66.jpg"
"BR7841"	"14K White Gold Mens Diamond Hip Hop Bracelet 7.79 Ctw"	"Brilliantly crafted in 14K White Gold, this astonishing mens diamond bracelet weighs approximately 71 grams. The links are highlighted with brilliant round cut diamonds which are channel and prong set across the 8 1/2 Inch frame. Securely locking with a hidden clasp and one safety latch, this one of a kind mens diamond bracelet is an ideal accessory for a glamorous night out."	"Diamond Bracelet"	"/b/r/br7841-1_1.jpg"	"8 1/2 Inches (215 mm)"	"7.79 Ctw"	""	"White"	"14K Gold"	"Channel, Prong "	"28500.0000"	"9500.0000"	"3/8 Inches (10 mm)"	"1.0000"	""	"G"	"SI1 , VS2"	"Round "	"Root Catalog>Mens>Root Catalog>Mens>Bracelets>Root Catalog>Mens>Hip Hop Jewelry>Root Catalog>Mens>Hip Hop Jewelry>Diamond Hip Hop Bracelets>Root Catalog>Mens>Bracelets>Mens Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/2206/s/14k-white-gold-mens-diamond-bracelet-7-79-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br7841-1_1.jpg"
"BR9745"	"14K White Gold Womens Diamond Bracelet 1.00 Ctw"	"Crafted in highly polished 14K White Gold, this simple yet elegant womens diamond bracelet weighs approximately 18.5 grams. Twenty eight small round cut diamonds are prong set across the 7 Inch frame which securely locks with a hidden clasp and one safety latch. Carrying a total of 1.00 carat diamonds, this lovely womens diamond bracelet is an ideal accessory for an every day casual wear."	"Diamond Bracelet"	"/b/r/br9745-2_1.jpg"	"7 Inches (177 mm)"	"1.00 Ctw"	""	"White"	"14K Gold"	"Prong "	"2000.0000"	"667.0000"	"3/16 Inches (5.6 mm)"	"1.0000"	""	"H , I"	"SI1 , SI2"	"Round "	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/2251/s/14k-white-gold-womens-diamond-bracelet-1-00-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br9745-2_1.jpg"
"BR7879"	"18K White Gold Womens Diamond Tennis Bracelet 6.29 Ctw"	"This exquisite womens diamond tennis bracelet is crafted in astonishing 18K White Gold. The center is prong set with round cut diamonds which are SI1/SI2 in clarity and G in color. This flawless womens diamond tennis bracelet weighs approximately 3.2 grams and securely locks with a hidden clasp and one safety latch. "	"Diamond Bracelet"	"/b/r/br7879-1_1.jpg"	"7 1/4 Inches (184 mm)"	"6.29 Ctw"	""	"White"	"18K Gold"	"Prong "	"19500.0000"	"6500.0000"	"1/8 Inches (3.3 mm)"	"1.0000"	""	"G"	"SI1 , SI2"	"Round "	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets>Root Catalog>Womens>Bracelets>Diamond Tennis Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/2278/s/18k-white-gold-womens-diamond-tennis-bracelet-6-29-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br7879-1_1.jpg"
