"SKU "	"ProductName "	"Description "	"ItemType"	"MainImageURL "	"length"	"TotalDiamondWeight "	"gemstonecarat"	"MetalType "	"MetalStamp "	"SettingType "	"MSRP "	"ItemPrice "	"width"	"weight"	"earringback"	"StoneColor1 "	"StoneClarity1"	"StoneShape1"	"category"	"link"	"image_link"
"BPC33469B"	"Blue Topaz Gemstone Pendant in White Gold"	"A striking look to complement your style! Handcrafted in lustrous 14k white gold, this pendant features a simply elegant design with round cut diamond accents dripping down from the top of the frame in a loop design showcasing the lovely gemstone held in the center. The featured gemstone is a genuine oval cut blue topaz gemstone held in a secure 4 prong setting. The color of the diamonds are H/I and the clarity is SI2/SI3. *This pendant comes with a free 18 inch silver necklace."	"Gemstone Diamond Pendant "	"/b/p/bpc33469ba_1.jpg"	"15/16 Inches (23.7 mm)"	"0.20 Ctw"	"1.60 Ctw"	"White"	"14K Gold"	""	"600.0000"	"199.0000"	"3/8 Inches (9.6 mm)"	"1.0000"	""	"H , I"	"SI2 , SI3"	"Round "	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/10674/s/blue-topaz-gemstone-pendant-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//b/p/bpc33469ba_1.jpg"
"BPC33476B"	"Round Cut Blue Topaz Diamond Gemstone Pendant in White Gold"	"Catch a lot of attention with this fabulous design! Handcrafted in genuine 14k white gold, this pendant features a dazzling design with round cut diamonds dripping down the frame showcasing the beautiful gemstone in the center of the frame. The featured gemstone is a genuine round cut blue topaz gemstone held in a secure 4 prong setting. The color of the diamonds are G/H and the clarity is SI2/SI3. *This pendant comes with a free 18 inch silver necklace."	"Gemstone Diamond Pendant "	"/b/p/bpc33476ba.jpg"	"7/8 Inches (22 mm)"	"0.25 Ctw"	"1.95 Ctw "	"White"	"14K Gold"	""	"630.0000"	"209.0000"	"1/2 inches (13 mm)"	"1.0000"	""	"G , H"	"SI2 , SI3"	"Round "	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/10677/s/round-cut-blue-topaz-diamond-gemstone-pendant-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//b/p/bpc33476ba.jpg"
"BPC33477B"	"Round Cut Blue Topaz Diamond Gemstone Pendant in White Gold"	"This pendant makes a stunning addition to any jewelry collection! Handcrafted in lustrous 14k white gold, this pendant features a simple yet eye catching design with 3 rows of round cut diamonds dripping down the frame showcasing the vibrant gemstone held in the center. The featured gemstone is a genuine round cut blue topaz gemstone held in a secure 4 prong setting. The color of the diamonds are G/H and the clarity is SI2/SI3. *This pendant comes with a free 18 inch silver necklace.
"	"Gemstone Diamond Pendant "	"/b/p/bpc33477ba.jpg"	"3/4 Inches (19.2 mm)"	"0.23 Ctw"	"1.13 Ctw"	"White"	"14K Gold"	""	"570.0000"	"189.0000"	"7/16 Inches (11.6 mm)"	"1.0000"	""	"G , H"	"SI2 , SI3"	"Round "	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/10679/s/round-cut-blue-topaz-diamond-gemstone-pendant-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//b/p/bpc33477ba.jpg"
"BPC33448"	"Oval Cut Citrine Diamond Gemstone Pendant in Yellow Gold"	"Dress yourself up with something spectacular! Handcrafted in lustrous 14k yellow gold, this pendant features a simply lovely design with 2 rows of round cut diamonds leading from the top surrounding the beautiful gemstone held in the center of the frame. The featured gemstone is a genuine oval cut citrine gemstone held in a secure 4 prong setting. The color of the diamonds are G/H and the clarity is SI2/SI3. *This pendant comes with a free 18 inch silver necklace.
"	"Gemstone Diamond Pendant "	"/b/p/bpc33448a.jpg"	"18.6 mm "	"0.25 Ctw"	"1.10 Ctw"	"Yellow"	"14K Gold"	""	"420.0000"	"139.0000"	"8.9 mm "	"1.0000"	""	"G , H"	"SI2 , SI3"	"Round "	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/10681/s/oval-cut-citrine-diamond-gemstone-pendant-in-yellow-gold/"	"http://www.avianneandco.com/store/media/catalog/product//b/p/bpc33448a.jpg"
"BPC33466C"	"Round Cut Citrine Diamond Gemstone Pendant in Yellow Gold"	"This gorgeous pendant is just the right touch of glamour for your evening look! Handcrafted in lustrous 14k yellow gold, this pendant features a simply outstanding design with 2 rows of round cut diamonds meeting in the center showcasing the lovely gemstone held in the center. The featured gemstone is a genuine round cut citrine gemstone held in a secure 4 prong setting. The color of the diamonds are G/H and the clarity is SI2/SI3. *This pendant comes with a free 18 inch silver necklace."	"Gemstone Diamond Pendant "	"/b/p/bpc33466ca.jpg"	"13/16 Inches (20.9 mm)"	"0.25 Ctw"	"1.35 Ctw"	"Yellow"	"14K Gold"	""	"600.0000"	"199.0000"	"1/2 Inches (13.1 mm)"	"1.0000"	""	"G , H"	"SI2 , SI3"	"Round "	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/10683/s/round-cut-citrine-diamond-gemstone-pendant-in-yellow-gold/"	"http://www.avianneandco.com/store/media/catalog/product//b/p/bpc33466ca.jpg"
"BPC33452C"	"Round Cut Citrine Diamond Gemstone Pendant in Yellow Gold"	"The finishing touch to your look! Handcrafted in lustrous 14k yellow gold, this pendant features a simply dazzling design covered in shimmering round cut diamonds showcasing the beautiful gemstone in the center. The featured gemstone is a genuine round cut citrine gemstone held in a secure 4 prong setting. The color of the diamonds are G/H and the clarity is SI2/SI3. *This pendant comes with a free 18 inch silver necklace."	"Gemstone Diamond Pendant "	"/b/p/bpc33452ca.jpg"	"5/8 Inches (16.2 mm)"	"0.14 Ctw"	"0.74 Ctw"	"Yellow"	"14K Gold"	""	"360.0000"	"119.0000"	"5/16 Inches (8.3 mm)"	"1.0000"	""	"G , H"	"SI2 , SI3"	"Round "	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/10685/s/round-cut-citrine-diamond-gemstone-pendant-in-yellow-gold/"	"http://www.avianneandco.com/store/media/catalog/product//b/p/bpc33452ca.jpg"
"BES5409C"	"Citrine Gemstone Earrings in Yellow Gold"	"Dress yourself up with something spectacular! Handcrafted in lustrous 14k yellow gold, these earrings feature a dazzling elegant swirl design covered in shimmering round cut diamonds surrounding the lovely gemstone held in the center of the frame. The featured gemstone is a genuine oval cut citrine gemstone held in a secure 4 prong setting. The color of the diamonds are G/H and the clarity is SI2/SI3."	"Gemstone Diamond Pendant "	"/b/e/bes5409ca.jpg"	"13/16 Inches (20.9 mm)"	"0.30 Ctw"	"2.13 Ctw"	"Yellow"	"14K Gold"	""	"1020.0000"	"339.0000"	"5/16 Inches (8.8 mm)"	"1.0000"	""	"G , H"	"SI2 , SI3"	"Round "	"Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"	"http://www.avianneandco.com/store/catalog/product/view/id/10686/s/citrine-gemstone-earrings-in-yellow-gold/"	"http://www.avianneandco.com/store/media/catalog/product//b/e/bes5409ca.jpg"
"BPC33467C"	"Oval Cut Citrine Diamond Gemstone Pendant in Yellow Gold"	"The finishing touch to your look! Handcrafted in lustrous 14k yellow gold, this pendant features a lovely design with 2 rows of round cut diamonds meeting in the center surrounding the dazzling gemstone held in the center of the frame. The featured gemstone is a genuine oval cut citrine gemstone held in a secure 4 prong setting. The color of the diamonds are G/H and the clarity is SI2/SI3. *This pendant comes with a free 18 inch silver necklace."	"Gemstone Diamond Pendant "	"/b/p/bpc33467ca.jpg"	"11/16 Inches (17.7 mm)"	"0.13 Ctw"	"1.05 Ctw"	"Yellow"	"14K Gold"	""	"420.0000"	"139.0000"	"3/8 Inches (9.1 mm)"	"1.0000"	""	"G , H"	"SI2 , SI3"	"Round "	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/10687/s/oval-cut-citrine-diamond-gemstone-pendant-in-yellow-gold/"	"http://www.avianneandco.com/store/media/catalog/product//b/p/bpc33467ca.jpg"
"BPC33462P"	"Round Cut Amethyst Diamond Gemstone Pendant in White Gold"	"This simple yet fashionable pendant makes the perfect gift! Handcrafted in lustrous 14k white gold, this pendant features a simply beautiful design with 3 rows of shimmering round cut diamonds leading to the center of the frame surrounding the gemstone in the center. The featured gemstone is a genuine amethyst gemstone held in a secure 4 prong setting. The color of the diamonds are G/H and the clarity is SI2/SI3. *This pendant comes with a free 18 inch silver necklace."	"Gemstone Diamond Pendant "	"/b/p/bpc33462pa.jpg"	"5/8 Inches (16.2 mm)"	"0.14 Ctw"	"0.83 Ctw"	"White"	"14K Gold"	""	"330.0000"	"109.0000"	"5/16 Inches (8.3 mm)"	"1.0000"	""	"G , H"	"SI2 , SI3"	"Round "	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/10690/s/round-cut-amethyst-diamond-gemstone-pendant-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//b/p/bpc33462pa.jpg"
"BPC33475P"	"Amethyst Gemstone Pendant in Rose Gold"	"This stylish design will make great for any occasion! Handcrafted in lustrous 14k rose gold, this dazzling pendant features a simple round shaped design absolutely covered in shimmering round cut diamonds showcasing the vibrant gemstone in the center. The featured gemstone is a genuine round cut amethyst gemstone held in a secure 4 prong setting. The color of the diamonds are G/H and the clarity is SI2/SI3. *This pendant comes with a free 18 inch silver necklace."	"Gemstone Diamond Pendant "	"/b/p/bpc33475pa_1.jpg"	"13/16 Inches (20.7 mm)"	"0.20 Ctw"	"0.74 Ctw"	"Rose"	"14K Gold"	""	"480.0000"	"159.0000"	"7/16 Inches (11.8 mm)"	"1.0000"	""	"G , H"	"SI2 , SI3"	"Round "	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/10697/s/amethyst-gemstone-pendant-in-rose-gold/"	"http://www.avianneandco.com/store/media/catalog/product//b/p/bpc33475pa_1.jpg"
"BPC33470"	"Oval Cut Amethyst Diamond Gemstone Pendant in Rose Gold"	"This simple yet fashionable pendant makes the perfect gift! Handcrafted in lustrous 14k rose gold, this pendant features a simple yet lovely design with 3 rows of round cut diamonds dripping down the frame surrounding the beautiful gemstone in the center of the pendant. The featured gemstone is a genuine oval cut amethyst gemstone held in a secure 4 prong setting. The color of the diamonds are G/H and the clarity is SI2/SI3. *This pendant comes with a free 18 inch silver necklace."	"Gemstone Diamond Pendant "	"/b/p/bpc33470a.jpg"	"3/4 Inches (18.5 mm)"	"0.15 Ctw"	"1.28 Ctw"	"Rose"	"14K Gold"	""	"480.0000"	"159.0000"	"3/8 Inches (8.9 mm)"	"1.0000"	""	"G , H"	"SI2 , SI3"	"Round "	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/10703/s/oval-cut-amethyst-diamond-gemstone-pendant-in-rose-gold/"	"http://www.avianneandco.com/store/media/catalog/product//b/p/bpc33470a.jpg"
"BPC33447P"	"Round Cut Amethyst Diamond Gemstone Pendant in Rose Gold"	"This simple yet fashionable ring makes the perfect gift! Handcrafted in lustrous 14k rose gold, this pendant features a lovely simple design covered in shimmering round cut diamonds showcasing the gorgeous gemstone held in the center of the frame. The featured gemstone is a genuine round cut amethyst gemstone held in a secure 4 prong setting. The color of the diamonds are G/H and the clarity is SI2/SI3. *This pendant comes with a free 18 inch silver necklace."	"Gemstone Diamond Pendant "	"/b/p/bpc33447pa.jpg"	"5/8 Inches (16.5 mm)"	"0.15 Ctw"	"0.66 Ctw"	"Rose"	"14K Gold"	""	"330.0000"	"109.0000"	"5/16 Inches (8.4 mm)"	"1.0000"	""	"G , H"	"SI2 , SI3"	"Round "	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/10706/s/round-cut-amethyst-diamond-gemstone-pendant-in-rose-gold/"	"http://www.avianneandco.com/store/media/catalog/product//b/p/bpc33447pa.jpg"
