"SKU "	"OtherImageURL3"	"ProductName "	"Description "	"image_link"	"Length"	"TotalMetalWeight "	"TotalDiamondWeight "	"gemstonecarat"	"MetalType "	"MetalStamp "	"SettingType "	"RingSize "	"MSRP "	"ItemPrice "	"width"
"VR03736A"	"Diamond Ring Set"	"10K White Gold Diamond Wedding Band Set 0.89 Ctw"	"This elegant diamond wedding band set is crafted in highly gleaming 10K White Gold. The engagement ring and the matching wedding band feature numerous small round cut diamonds which are pave set half way across the bands. The set comes with one mens wedding band which is also set with numerous small round cut diamonds and measures to 3/8 Inches in width. Weighing approximately 9.6 grams, this is an ideal diamond three ring wedding band set at an affordable value."	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr03736a-1.jpg"	""	"1.0000"	"0.89 Ctw"	""	"White"	"10K Gold"	"Micro Pave "	""	"2250.0000"	"750.0000"	""
"VR03409"	"Diamond Ring Set"	"10K Yellow Gold Diamond Wedding Band Set 0.45 Ctw"	"This exquisite diamond wedding band set is crafted in 10K Yellow Gold. The engagement ring comes with a matching womens wedding band and they are both pave set with numerous small round cut diamonds which are H in color and SI1/SI2 in clarity. This set comes with a matching mens wedding band which is also adorned with brilliant round cut diamonds and measures to 1/4 Inches in width. Weighing approximately 6.5 grams, this finely detailed wedding band set is an ideal gift at an affordable value."	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr03409-1.jpg"	""	"1.0000"	"0.45 Ctw"	""	"Yellow"	"10K Gold"	"Micro Pave "	""	"1590.0000"	"530.0000"	""
"VR03409A"	"Diamond Ring Set"	"10K White Gold Diamond Wedding Band Set 0.45 Ctw"	"This exquisite diamond wedding band set is crafted in 10K White Gold. The engagement ring comes with a matching womens wedding band and they are both pave set with numerous small round cut diamonds which are H in color and SI1/SI2 in clarity. This set comes with a matching mens wedding band which is also adorned with brilliant round cut diamonds and measures to 1/4 Inches in width. Weighing approximately 6.5 grams, this finely detailed wedding band set is an ideal gift at an affordable value."	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr03409a-1.jpg"	""	"1.0000"	"0.45 Ctw"	""	"White"	"10K Gold"	"Micro Pave "	""	"1590.0000"	"539.0000"	""
"VR03709"	"Diamond Ring Set"	"10K Yellow Gold Diamond Wedding Band Set 0.60 Ctw"	"This one of a kind diamond wedding band set is crafted in highly gleaming 10K Yellow Gold. The engagement ring comes with a matching wedding band and they are both adorned with brilliant round cut diamonds which are H in color and SI1/SI2 in clarity. The set includes one mens wedding band which measure sto 1/4 Inches in width and is features small round cut diamonds which are pave set half way across the band. Weighing approximately 7.8 grams, this exquisite diamond three ring wedding band set is an ideal addition at an affordable value."	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr03709-1_1.jpg"	""	"1.0000"	"0.60 Ctw"	""	"Yellow"	"10K Gold"	"Micro Pave "	""	"1775.0000"	"592.0000"	""
"VR03709A"	"Diamond Ring Set"	"10K White Gold Diamond Wedding Band Set 0.60 Ctw"	"This one of a kind diamond wedding band set is crafted in highly gleaming 10K White Gold. The engagement ring comes with a matching wedding band and they are both adorned with brilliant round cut diamonds which are H in color and SI1/SI2 in clarity. The set includes one mens wedding band which measure sto 1/4 Inches in width and is features small round cut diamonds which are pave set half way across the band. Weighing approximately 7.8 grams, this exquisite diamond three ring wedding band set is an ideal addition at an affordable value."	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr03709a-1_1.jpg"	""	"1.0000"	"0.60 Ctw"	""	"White"	"10K Gold"	"Micro Pave "	""	"1775.0000"	"592.0000"	""
"VR04093"	"Diamond Ring Set"	"10K Yellow Gold Diamond Wedding Band Set 0.76 Ctw"	"This lovely diamond wedding band set is crafted in 10K Yellow Gold. The engagement ring is adorned with small round cut diamonds and measures to 1/4 Inches in width. The engagement ring comes with a matching wedding band which features pave set round cut diamonds half way across the band and measures to 3/16 Inches in width. The set also includes mens diamond wedding band which measures to 3/8 Inches in width. This finely detailed diamond wedding band set weighs approximately 7.6 grams."	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_32.jpg"	""	"1.0000"	"0.76 Ctw"	""	"Yellow"	"10K Gold"	"Micro Pave "	""	"1900.0000"	"634.0000"	""
"SDR4106"	"Diamond Ring Set"	"14K White Gold Diamond Wedding Band Set 6.25 Ctw"	"This glamorous diamond wedding ring set is crafted in lustrous 14K White Gold. The engagement ring features square shape center piece which is invisibly set with twenty five small princess cut diamonds and another set of princess cut diamonds channel set in three rows half way around the band. The engagement ring comes with a matching wedding band which also features small princess cut diamonds which are channel set half way around the band. The bridal ring set comes with a matching men's wedding band which is also adorned with small princess cut diamonds placed in three rows. The bridal set measures to 5/16 Inches in width and the men's ring measures to 3/8 Inches in width. Gleaming with absolute brilliance, this finely detailed diamond wedding ring set weighs approximately 19.1 grams. "	"http://www.avianneandco.com/store/media/catalog/product//S/D/SDR4106-1.jpg"	""	"1.0000"	"6.25 Ctw"	""	"White"	"14K Gold"	"Invisible, Pave"	""	"19750.0000"	"6584.0000"	""
"SDR3495"	"Diamond Ring Set"	"14K White Gold Diamond Wedding Band Set 3.00 Ctw"	"This glamorous diamond wedding bamd set is crafted in lustrous 14K White Gold. The engagement ring and the womens wedding band are both adorned with numerous small princess cut invisibly set diamonds. The matching mens wedding band measures to 1/4 Inches in width and is also adorned with a set of small princess cut diamonds. This finely detailed diamond wedding three ring set weighs approximately 13 grams. "	"http://www.avianneandco.com/store/media/catalog/product//S/D/SDR3495-4.jpg"	""	"1.0000"	"3.00 Ctw"	""	"White"	"14K Gold"	"Invisible"	""	"11000.0000"	"3667.0000"	""
"SDR3494"	"Diamond Ring Set"	"14K White Gold Diamond Wedding Band Set 4.05 Ctw"	"This glamorous diamond wedding ring set is crafted in lustrous 14K White Gold. The engagement ring and womens wedding band are both adorned with small princess cut diamonds. The mens matching wedding band is also adorned with small princess cut diamonds and measures to approximately 3/16 Inches in width. Detailed to absolute perfection, this elegant diamond wedding three  ring set weighs approximately 13.5 grams."	"http://www.avianneandco.com/store/media/catalog/product//S/D/SDR3494-5.jpg"	""	"1.0000"	"4.05 Ctw"	""	"White"	"14K Gold"	"Invisible"	""	"12500.0000"	"4167.0000"	""
"SDR3493"	"Diamond Ring Set"	"14K White Gold Diamond Wedding Band Set 3.25 Ctw"	"This one of a kind diamond wedding band set is crafted in highly polished 14K White Gold. The engagement ring and matching womens wedding band are both adorned with small princess cut diamonds. The mens matching wedding band is also adorned with small princess cut diamonds and measures to 3/16 Inches in width. Weighing approximately 13 grams, this finely detailed diamond wedding three ring set is an ideal set for both him and her."	"http://www.avianneandco.com/store/media/catalog/product//S/D/SDR3493-1.jpg"	""	"1.0000"	"3.25 Ctw"	""	"White"	"14K Gold"	"Invisible"	""	"11000.0000"	"3667.0000"	""
"VR03719"	"Diamond Ring Set"	"10K Yellow Gold Diamond Wedding Band Set 0.69 Ctw"	"This lovely diamond wedding ring set is crafted in 10K Yellow Gold. The engagement ring is pave set with small round cut diamonds and comes with a matching wedding band which measures to 3/16 Inches in width. The bridal set comes with an additional mens diamond wedding band which measures to 3/8 Inches in width. Weighing approximately 6.4 grams, this elegant diamond three ring wedding ring set is an ideal set for him and her. "	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr03719-1_1.jpg"	""	"1.0000"	"0.69 Ctw"	""	"Yellow"	"10K Gold"	"Micro Pave"	""	"1950.0000"	"650.0000"	""
"VR05367"	"Diamond Ring Set"	"10K Yellow Gold Diamond Wedding Band Set 0.75 Ctw"	"Crafted in highly gleaming 10K Yellow Gold, this elegant wedding band set weighs approximately 8.4 grams. The engagement ring is pave set with brilliant small round cut diamonds and comes with a matching womens diamond wedding band which measures to 1/4 Inches in width. The bridal ring set comes with an additional matching mens wedding band which measures to 1/4 Inches in width and is also pave set with numerous small round cut diamonds. This elegant three ring diamond set is an ideal gift for him and her. "	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr05367-1_1.jpg"	""	"1.0000"	"0.75 Ctw"	""	"Yellow"	"10K Gold"	"Micro Pave"	""	"1950.0000"	"650.0000"	""
"VR04270A"	"Diamond Ring Set"	"10K White Gold Diamond Wedding Band Set 1.75 Ctw"	"This beautiful diamond wedding band set is crafted in 10K White Gold. The engagement ring is pave set with small round cut diamonds and comes with a matching womens wedding band which measures to 1/4 Inches in width. The bridal ring set comes with an additional matching mens wedding band which measures to 1/4 Inches in width and also features small round cut pave set diamonds. Weighing approximately 10 grams this one of a kind three ring wedding band set is an ideal gift for both him and her."	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr04270a-5.jpg"	""	"1.0000"	"1.75 Ctw"	""	"White"	"10K Gold"	"Pave"	""	"2300.0000"	"767.0000"	""
"VR05371"	"Diamond Ring Set"	"10K Yellow Gold Diamond Wedding Band Set 0.85 Ctw"	"Gleaming in absolute elegance, this uniquely designed wedding band set is crafted in 10K Yellow Gold. The engagement ring is pave set with small round cut diamonds and comes with a matching womens wedding band which measures to 3/16 Inches in width. The bridal ring set comes with an additional matching mens wedding band which is pave set with small round cut diamonds and measures to 1/4 Inches in width. Weighing approximately 7.4 grams, this glamorous diamond three ring wedding band set is an ideal gift for him and her."	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr05371-1_1.jpg"	""	"1.0000"	"0.85 Ctw"	""	"Yellow"	"10K Gold"	"Pave"	""	"1750.0000"	"584.0000"	""
"VR03014"	"Diamond Ring Set"	"10K White Gold Diamond Wedding Band Set 0.80 Ctw"	"Elegant in appearance, this lovely diamond wedding band set is crafted in 10K white gold. The engagement ring is set with brilliant round cut diamonds and comes with a matching womens diamond wedding band which measures to 3/16 Inches in width. The bridal ring set comes with a matching mens diamond wedding band which measures to 3/16 Inches in width and is also adorned with small round cut diamonds. Weighing approximately 7.4 grams, this three ring diamond wedding band set is an ideal gift idea for both him and her."	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr03014-1_1.jpg"	""	"1.0000"	"0.80 Ctw"	""	"White"	"10K Gold"	"Pave, Micro Pave"	""	"1785.0000"	"595.0000"	""
"VR05371A"	"Diamond Ring Set"	"10K White Gold Diamond Wedding Band Set 0.85 Ctw"	"This glamorous diamond wedding band set is crafted in 10K White Gold. The engagement ring is set with brilliant small round cut diamonds and comes with a matching womens diamond wedding band which measures to 1/4 Inches in width. The bridal ring set comes with a matching mens diamond wedding band which is also set with small round cut diamonds and measures to 1/4 Inches in width. Weighing approximately 7.4 grams, this one of a kind three ring diamond wedding band set is an ideal gift idea for both him and her. "	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr05371a-1_2.jpg"	""	"1.0000"	"0.85 Ctw"	""	"White"	"10K Gold"	"Micro Pave, Pave"	""	"1450.0000"	"484.0000"	""
"VR04092"	"Diamond Ring Set"	"10K White Gold Diamond Wedding Band Set 0.45 Ctw"	"This glamorous diamond wedding band set is crafted in 10K white gold. The engagement ring is set with brilliant small round cut diamonds and comes with a matching womens wedding band which measures to 1/8 Inches in width. This bridal ring set comes with an additional matching mens diamond wedding band which measures to 1/8 Inches in width. Weighing approximately 8.7 grams this elegant three ring diamond wedding band set is an ideal gift for both him and her."	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr04092-1.jpg"	""	"1.0000"	"0.45 Ctw"	""	"White"	"10K Gold"	"Channel, Micro Pave"	""	"1060.0000"	"354.0000"	""
"VR04046"	"Diamond Ring Set"	"10K White Gold Diamond Wedding Band Set 0.65 Ctw"	"This lovely diamond wedding band set is crafted in highly gleaming 10K White Gold. The engagement ring is set with small round cut diamonds and comes with a matching womens wedding band which measures to 3/16 Inches in width. The bridal ring set comes with an additional mens diamond wedding band which measures to 3/16 Inches in width and is also adorned with channel set round cut diamonds. Weighing approximately 9.5 grams, this elegant three ring diamond wedding band set is an ideal gift for both him and her."	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr04046-1_2_1.jpg"	""	"1.0000"	"0.65 Ctw"	""	"White"	"10K Gold"	"Channel, Micro Pave"	""	"1575.0000"	"525.0000"	""
"VR05596"	"Diamond Ring Set"	"10K Two Tone Gold Diamond Wedding Band Set 0.80 Ctw"	"This large diamond wedding band set is crafted in 10K yellow and white gold. The engagement ring is pave set with small round cut diamonds and crafted in both white and yellow gold. The engagement ring comes with a matching womens wedding band which measures to 1/4 Inches in width and pave set with numerous small round cut diamonds. The bridal ring set comes with an additional mens diamond wedding band which measures to 5/16 Inches in width. This two tone diamond three ring wedding set is an ideal gift for both him and her."	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr05595-1.jpg"	""	"1.0000"	"0.80 Ctw"	""	"White , Yellow"	"10K Gold"	"Pave"	""	"2150.0000"	"717.0000"	""
"VR003718"	"Diamond Ring Set"	"10K White Gold Diamond Wedding Band Set 0.55 Ctw"	"Gleaming in absolute elegance, this uniquely designed diamond wedding band set is crafted in 10K White Gold. The engagement ring is pave set with brilliant small round cut diamonds and comes with a matching womens diamond wedding band which measures to 3/16 Inches in width. The bridal ring set comes with an additional mens diamond wedding band which is also pave set with numerous small round cut diamonds and measures to 1/4 Inches in width. Weighing approximately 6.3 grams, this lovely diamond three ring wedding band set is an ideal gift for him and her."	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr003718a-1_1.jpg"	""	"1.0000"	"0.55 Ctw"	""	"White"	"10K Gold"	"Micro Pave"	""	"1575.0000"	"525.0000"	""
"VR04270"	"Diamond Ring Set"	"10K Yellow Gold Diamond Wedding Band Set 1.75 Ctw"	"This elegant diamond wedding band set is crafted in 10K Yellow Gold. The engagement ring is pave set with small round cut diamonds and comes with a matching womens diamond wedding band which measures to 1/4 Inches in width. The bridal ring set comes with an additional matching mens diamond wedding band which also measures to 1/4 Inches in width. Weighing approximately 10 grams, this exquisite three ring diamond wedding band set is an ideal accessory for both him and her."	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr04270-4.jpg"	""	"1.0000"	"1.75 Ctw"	""	"Yellow"	"10K Gold"	"Pave"	""	"2600.0000"	"867.0000"	""
"VR003721"	"Diamond Ring Set"	"10K Yellow Gold Diamond Wedding Band Set 0.55 Ctw"	"This elegant diamond wedding band set is crafted in 10K Yellow Gold. The engagement ring is pave set with small round cut diamonds and comes with a matching womens diamond wedding band which measures to 1/8 Inches in width. The bridal ring set comes with an additional matching mens wedding band which measures to 1/4 Inches in width. Weighing approximately 5.6 grams, this lovely diamond three ring wedding band set is an ideal gift for both occasions. "	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr003721-1_1.jpg"	""	"1.0000"	"0.55 Ctw"	""	"Yellow"	"10K Gold"	"Micro Pave"	""	"1780.0000"	"594.0000"	""
"VR003721A"	"Diamond Ring Set"	"10K White Gold Diamond Wedding Band Set 0.55 Ctw"	"This lovely diamond wedding band set is crafted in highly gleaming 10K white gold. The engagement ring is pave set with small round cut diamonds and comes with a matching womens diamond wedding band which measures to 3/16 Inches in width. The bridal ring set comes with an additional matching mens diamond wedding band which is pave set with small round cut diamonds and measures to 1/4 Inches in width. Weighing a total of 5.6 grams, this three ring diamond wedding band set is an ideal gift for both occasions. "	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr003721a-1.jpg"	""	"1.0000"	"0.55 Ctw"	""	"White"	"10K Gold"	"Micro Pave"	""	"1780.0000"	"594.0000"	""
"VR03034"	"Diamond Ring Set"	"10K White Gold Diamond Wedding Band Set 0.75 Ctw"	"This elegantly designed diamond wedding band set is crafted in 10K White Gold. The engagement ring is adorned with small round cut diamonds and comes with a matching womens diamond wedding band which measures to 3/16 Inches in width. The bridal ring set comes with an additional matching mens diamond wedding band which measures to 1/4 Inches in width and adorned with small round cut diamonds. This lovely diamond three ring wedding band set is an ideal gift for both occasions."	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr03034-1.jpg"	""	"1.0000"	"0.75 Ctw "	""	"White"	"10K Gold"	"Pave, Cluster"	""	"2250.0000"	"750.0000"	""
"VR05367A"	"Diamond Ring Set"	"10K White Gold Diamond Wedding Band Set 0.75 Ctw"	"This elegant womens diamond wedding band set is crafted in 10K white gold. The engagement ring is pave set with brilliant small round cut diamonds and comes with a matching womens diamond wedding band which measures to 3/16 inches in width. The bridal ring set comes with a matching mens diamond wedding band which is adorned with small diamonds and measures to 1/4 inches in width. This simple diamond three ring wedding band set is an ideal gift at an affordable value."	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr05367a-1_1.jpg"	""	"1.0000"	"0.75 Ctw"	""	"White"	"10K Gold"	"Micro Pave, Pave"	""	"1950.0000"	"650.0000"	""
"VR02779"	"Diamond Ring Set"	"10K White Gold Diamond Wedding Band Set 0.45 Ctw"	"This simple diamond wedding band set is crafted in 10K White Gold. The engagement ring is pave set with small round cut diamonds and comes with a matching womens diamond wedding band which measures to 3/16 inches in width. The bridal ring set comes with an additional mens wedding band which measures to 3/16 Inches in width. Elegant in design, this three ring diamond wedding set is an ideal gift for both occasions."	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr02779-1.jpg"	""	"1.0000"	"0.45 Ctw"	""	"White"	"10K Gold"	"Micro Pave, Channel "	""	"1070.0000"	"357.0000"	""
