"Mfr Part # "	"Manufacturer"	"Product URL"	"Image URL"	"Product Title"	"Product Description"	"Category"	"Price"	"Condition"	"MSRP"	"category"	"link"	"image_link"
"R3811"	"Enabled"	"14k-white-gold-womens-diamond-wedding-band-0-49-ctw.html"	"/R/3/R3811_1.jpg"	"14K White Gold Womens Diamond Wedding Band 0.49 Ctw"	"Seventeen brilliant round cut diamonds G/H in color and SI2 in clarity are pave set in a crisscross design. The width of this band 3/8 inches with a total weight of 4 grams. This simple and elegant 14K white gold womens wedding band is an ideal gift for that special day."	"Diamond Ring"	"309.0000"	"new"	"925.0000"	"Root Catalog>Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Womens Wedding Bands>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/169/s/14k-white-gold-womens-diamond-wedding-band-0-49-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/3/R3811_1.jpg"
"R4047"	"Enabled"	"14k-yellow-gold-mens-diamond-ring-0-29-ctw.html"	"/R/4/R4047_2.JPG"	"14K Yellow Gold Mens Diamond Pinky  Ring 0.35 Ctw "	"This simple and elegant mens diamond ring is crafted in 14K Yellow Gold. Adorned with five rows of four round cut diamonds the center piece is 1/2 inches (12mm) in width. The round cut diamonds are channel set and are G in color and VS@ in clarity with the total carat weight of 0.35 carats. "	"Diamond Ring"	"584.0000"	"new"	"1750.0000"	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Rings>Root Catalog>Mens>Rings>Mens Diamond Pinky Rings>Root Catalog>Mens>Rings>Mens Diamond Rings"	"http://www.avianneandco.com/store/catalog/product/view/id/179/s/14k-yellow-gold-mens-diamond-ring-0-29-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/4/R4047_2.JPG"
"R-299"	"Enabled"	"14k-white-gold-mens-diamond-ring-1-21-ctw.html"	"/i/m/im-1_280.jpg"	"14K White Gold Mens Diamond Ring 1.21 Ctw"	"Very stylish and elegant mens ring is crafted in 14K white gold. Square centerpiece features four invisibly set princess cut diamonds with a number of pave set round cut diamonds around it. The screw motif design adds to the bands uniqueness and elegance. "	"Diamond Ring"	"659.0000"	"new"	"1975.0000"	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Rings>Root Catalog>Mens>Rings>Mens Diamond Rings"	"http://www.avianneandco.com/store/catalog/product/view/id/186/s/14k-white-gold-mens-diamond-ring-1-21-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_280.jpg"
"ER0037Y"	"Enabled"	"14k-yellow-gold-unisex-stud-earrings-0-89-ctw.html"	"/E/R/ER0037Y_1.JPG"	"14K Yellow Gold Yellow Diamond Stud Earrings 0.89 Ctw "	"These 14 karat Gold Diamond Stud Earrings features Flawless Princess cut yellow in color, SI1/SI2 in clarity precious stones, for a total carat weight of .89 carats. Sixteen princess cut yellow diamonds are invisibly set on each earring. The measurements of these  earrings are 1/4 inches (6mm) in width and length, for a total gram weight of approximately 3 grams. Ideal for both ladies and men for a very affordable price. "	"Diamond Earring"	"584.0000"	"new"	"1750.0000"	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Earrings>Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Colored Diamond Earrings>Root Catalog>Mens>Earrings>Multi Color Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Stud Earrings>Root Catalog>Mens>Earrings>Mens Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"	"http://www.avianneandco.com/store/catalog/product/view/id/220/s/14k-yellow-gold-unisex-stud-earrings-0-89-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//E/R/ER0037Y_1.JPG"
"13268 "	"Enabled"	"14k-white-gold-mens-diamond-cufflinks-0-65-ctw.html"	"/1/3/13268_1.JPG"	"14K White Gold Mens Diamond Cufflinks 0.65 Ctw "	"These simple and elegant mens cuff links are crafted in polished 14K white gold. The centerpiece is set with round cut diamonds held by channel and prong settings. These cuff links shine with  brilliant stones which are are are G in color and VS1 in clarity. "	"Diamond Pendant"	"792.0000"	"new"	"2375.0000"	"Root Catalog>Mens>Root Catalog>Mens>Cufflinks"	"http://www.avianneandco.com/store/catalog/product/view/id/223/s/14k-white-gold-mens-diamond-cufflinks-0-65-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//1/3/13268_1.JPG"
"E007B"	"Enabled"	"14k-white-gold-unisex-diamond-earrings-0-81-ctw.html"	"/e/0/e007b-1.jpg"	"14K White Gold Blue Diamond Stud Earrings 0.81 Ctw "	"These unisex earrings are crafted in highly polished 14K white gold.They feature brilliant invisibly set blue in color, SI1/SI2 in clarity precious princess cut stones, for a total carat weight of .81 carats. The length and width of the center piece measures to approximately 5/16 Inches, and they weigh 16 grams. Ideal for both men and women, these earrings portray uniqueness and sense of style. "	"Diamond Earring"	"917.0000"	"new"	"2750.0000"	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Earrings>Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Colored Diamond Earrings>Root Catalog>Mens>Earrings>Multi Color Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Stud Earrings>Root Catalog>Mens>Earrings>Mens Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"	"http://www.avianneandco.com/store/catalog/product/view/id/227/s/14k-white-gold-unisex-diamond-earrings-0-81-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//e/0/e007b-1.jpg"
"R058"	"Enabled"	"14k-white-gold-womens-diamond-anniversary-ring-0-34-ctw.html"	"/r/0/r058-1_1.jpg"	"14K White Gold Womens Five Stone Diamond Anniversary Ring 0.34 Ctw"	"This 14K White Gold Diamond Anniversary Ring is shining with simplicity and elegance. The channel setting features five sparkling round cut diamonds. This band could be an ideal wedding or an anniversary gift."	"Diamond Ring"	"384.0000"	"new"	"1150.0000"	"Root Catalog>Wedding>Root Catalog>Wedding>Anniversary>Five-Stone Diamond Rings>Root Catalog>Wedding>Anniversary"	"http://www.avianneandco.com/store/catalog/product/view/id/229/s/14k-white-gold-womens-diamond-anniversary-ring-0-34-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//r/0/r058-1_1.jpg"
"C10447"	"Enabled"	"14k-white-gold-womens-diamond-pendant-0-15-ctw.html"	"/c/1/c10447-1.jpg"	"14K White Gold Womens Diamond Solitaire Pendant  0.15 ctw"	"This 14k gold women’s diamond pendant features a round cut prong set 0.15 ct diamond. This beautiful pendant comes with a chain. "	"Diamond Pendant"	"384.0000"	"new"	"1150.0000"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/231/s/14k-white-gold-womens-diamond-pendant-0-15-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//c/1/c10447-1.jpg"
"P5884"	"Enabled"	"14kt-white-gold-womens-diamond-pendant-0-74-ctw.html"	"/p/5/p5884-1.jpg"	"14KT White Gold Womens Diamond Pendant 0.74 Ctw"	"This 14k white gold cross pendant is remarkably brilliant! This white diamond cross pendant features a gorgeous 0.44 carats of round cut diamonds pave set into a 14k white gold frame. Perfect for any woman with a taste for luxury. This lovely diamond pendant comes with a beautiful chain. 
"	"Diamond Pendant"	"859.0000"	"new"	"2575.0000"	"Root Catalog>Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Pendants>Womens Diamond Crosses >Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/234/s/14kt-white-gold-womens-diamond-pendant-0-74-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//p/5/p5884-1.jpg"
"R5920W"	"Enabled"	"14k-white-gold-mens-diamond-ring-0-57-ctw.html"	"/R/5/R5920W_2.JPG"	"14K White Gold Mens Diamond Ring 0.57 Ctw "	"This simple and elegant mens diamond ring is crafted in 14K white gold. Carrying a total of 0.57 ctw, the center piece is set with brilliant VS1/VS2 invisibly set princess cut diamonds. The width of this center piece is approximately 18 mm. An ideal mens ring at a very affordable price. "	"Diamond Ring"	"799.0000"	"new"	"2375.0000"	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Rings>Root Catalog>Mens>Rings>Mens Diamond Rings"	"http://www.avianneandco.com/store/catalog/product/view/id/239/s/14k-white-gold-mens-diamond-ring-0-57-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/5/R5920W_2.JPG"
"R5460B"	"Enabled"	"14k-white-gold-mens-diamond-ring-0-90-ctw.html"	"/i/m/im-2_64.jpg"	"14K White Gold Mens Blue Diamond Ring 0.90 Ctw "	"This featured 14 karat white gold diamond ring is simple yet very refined. Featuring blue in color SI1/SI3 in clarity diamonds that are channel set in this regal design. The total carat weight of this  ring is 0.90 carats of sparkling precious stones. The width of the center piece is approximately 10mm. .This is an ideal ring for those who appreciate uniqueness and simplicity. "	"Diamond Ring"	"717.0000"	"new"	"2150.0000"	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Rings>Root Catalog>Mens>Rings>Multi Colored Diamond Rings>Root Catalog>Mens>Rings>Mens Diamond Rings"	"http://www.avianneandco.com/store/catalog/product/view/id/255/s/14k-white-gold-mens-diamond-ring-0-90-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-2_64.jpg"
