"Product Name"	"Manufacturer Name"	"Retsku"	"Categorization"	"Detailed Description "	"Selling Price "	"Availability"	"Regular Price"	"Condition"	"Product URL"	"Image URL"
"Pink and Yellow Sapphire Black and White Diamond Jewelry & Watches > Fine Jewelry > Rings in White Gold"	"Avianne & Co"	"R2607 "	"Jewelry & Watches > Fine Jewelry > Rings"	"    This eye-catching ring features pink sapphire, yellow sapphire, white and black diamonds to create a one-of-a-kind piece. The 14k white gold band is centered with round pave set white diamonds, pink and yellow sapphire gemstones to create an interesting design. The white diamonds have G/H color and SI2/SI3 clarity. The black diamonds accent the center and climb down each side of the band.     "	479	"Yes"	1440	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8159/s/pink-and-yellow-sapphire-black-and-white-diamond-gemstone-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//r/2/r2607a.jpg"
"Sapphire and Diamond Jewelry & Watches > Fine Jewelry > Rings in White Gold"	"Avianne & Co"	"SR07679 "	"Jewelry & Watches > Fine Jewelry > Rings"	"  An interesting diamond shaped middle is filled with pave set round blue sapphire gemstones. There is a single row of white round diamonds floating above the sapphires to create a dazzling design. The diamonds have G/H color and SI2/SI3 clarity.  "	239	"Yes"	720	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8160/s/sapphire-and-diamond-gemstone-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//s/r/sr07679a.jpg"
"Ruby Diamond Jewelry & Watches > Fine Jewelry > Rings in White Gold"	"Avianne & Co"	"RG7677 "	"Jewelry & Watches > Fine Jewelry > Rings"	"  This 14k white gold band features four princess shaped pink Ruby gemstones which are invisibly set to create a square shaped center. They are surrounded by 16 round prong set white diamonds. The diamonds have I/J color and SI2/SI3 clarity.  "	299	"Yes"	900	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8161/s/ruby-diamond-gemstone-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//r/g/rg7677a.jpg"
"Sapphire and Diamond Jewelry & Watches > Fine Jewelry > Rings in White Gold"	"Avianne & Co"	"R1493SP "	"Jewelry & Watches > Fine Jewelry > Rings"	"  This dazzling ring combines blue and white with deep blue princess shaped blue sapphire gemstones and _ carats of princess shaped invisibly set diamonds. The diamonds glitter beside the invisibly set sapphires with G/H color and SI2/SI3 clarity.  "	679	"Yes"	2040	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8162/s/sapphire-and-diamond-gemstone-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//r/1/r1493spa.jpg"
"Sapphire and Diamond Jewelry & Watches > Fine Jewelry > Rings in White Gold"	"Avianne & Co"	"R1073S "	"Jewelry & Watches > Fine Jewelry > Rings"	"  This unique ring features deep blue sapphires, round and baguette shaped diamonds. The deep blue sapphires are princess shaped and invisibly set in the center. They are surrounded by round prong set and baguette shaped channel set diamonds. The color of the diamonds are G/H and the clarity is SI2/SI3.  "	269	"Yes"	810	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8163/s/sapphire-and-diamond-gemstone-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//r/1/r1073sa.jpg"
"Ruby and Diamond Jewelry & Watches > Fine Jewelry > Rings in White Gold"	"Avianne & Co"	"R1493R "	"Jewelry & Watches > Fine Jewelry > Rings"	"  This dazzling white Jewelry & Watches > Fine Jewelry > Rings combines pretty pink, princess shaped ruby gemstones and princess shaped, channel set diamonds. The diamonds glitter with G/H color and SI1/SI2 clarity.  "	679	"Yes"	2040	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8164/s/ruby-and-diamond-gemstone-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//r/1/r1493ra.jpg"
"Sapphire and Diamond Unique Jewelry & Watches > Fine Jewelry > Rings in White Gold"	"Avianne & Co"	"R10689S "	"Jewelry & Watches > Fine Jewelry > Rings"	"    This elegant 18k white gold unique Jewelry & Watches > Fine Jewelry > Rings features both deep blue sapphires and diamonds. The cut out design features a round, oval and princess shaped bezel set sapphire, accented by round prong set diamonds. The diamonds have G/H color and SI2/SI3 clarity.    "	629	"Yes"	1890	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8165/s/sapphire-and-diamond-unique-gemstone-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//r/1/r10689sa.jpg"
"Yellow and Pink Sapphire Diamond Jewelry & Watches > Fine Jewelry > Rings in White Gold"	"Avianne & Co"	"R3469 "	"Jewelry & Watches > Fine Jewelry > Rings"	"  Pink and yellow compliment each other well in this yellow, pink sapphire and Jewelry & Watches > Fine Jewelry > Rings. The 14k white gold band consists of pave set yellow and pink round sapphires accented by pave set round diamonds. The diamonds have G/H color and SI1/SI2 clarity.  "	239	"Yes"	720	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8166/s/yellow-and-pink-sapphire-diamond-gemstone-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//r/3/r3469a.jpg"
"Sapphire and Diamond Jewelry & Watches > Fine Jewelry > Rings in White Gold"	"Avianne & Co"	"R3552 "	"Jewelry & Watches > Fine Jewelry > Rings"	"    This glittering ring showcases both deep blue sapphire gemstones and round and princess shaped diamonds. The princess shaped prong set diamond sits in the middle accented by smaller bezel set round diamonds and round pave set blue sapphires. The diamonds have G/H color and VS2/SI1 clarity.     "	499	"Yes"	1500	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8167/s/sapphire-and-diamond-gemstone-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//r/3/r3552a.jpg"
"Sapphire and Diamond Jewelry & Watches > Fine Jewelry > Rings in White Gold"	"Avianne & Co"	"RSC8840S "	"Jewelry & Watches > Fine Jewelry > Rings"	"  This pretty ring features navy blue sapphire gemstones and sparkling accent diamonds. The round prong set diamonds sparkle with G/H color and SI1/SI2 clarity and surround the princess shaped invisibly set blue sapphires.  "	469	"Yes"	1410	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8168/s/sapphire-and-diamond-gemstone-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//r/s/rsc8840sa.jpg"
