"id"	"title"	"link"	"price"	"description"	"condition"	"image_link"	"category"
"BR241"	"14K Yellow Gold Mens Fancy Bracelet 8.25"" 7 mm"	"http://www.avianneandco.com/store/catalog/product/view/id/5326/s/14k-yellow-gold-mens-fancy-bracelet-8-25-7-mm/"	"1500.0000"	"This fancy mens bracelet is crafted in lustrous 14K yellow gold. The frame measures to 8 1/4 Inches in length and 1/4 Inches in width.  Weighing approximately 24 grams, this elegant mens bracelet securely locks with a lobster claw clasp."	"new"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br241-1.jpg"	"Root Catalog>Mens>Root Catalog>Mens>Mens Gold Jewelry>Root Catalog>Mens>Mens Gold Jewelry>Mens Gold Bracelets"
"BR9116"	"14K Yellow Gold Mens ID Bracelet 8.5"" 25 mm"	"http://www.avianneandco.com/store/catalog/product/view/id/5330/s/14k-yellow-gold-mens-id-bracelet-8-5-25-mm/"	"5034.0000"	"This large mens ID bracelet is crafted in 14K yellow gold. The link in the center measures to 2 1/4 Inches in length and 1 Inches in width. The bracelet measures to 8 1/2 Inches in length and 1 Inches in width. Weighing approximately 116 grams, this one of a kind mens ID bracelet securely locks with a large box clasp closure and two safety latches from opposite sides. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br9116-3.jpg"	"Root Catalog>Mens>Root Catalog>Mens>Mens Gold Jewelry>Root Catalog>Mens>Mens Gold Jewelry>Mens Gold Bracelets"
"BR1588"	"14K Yellow Gold Mens Cuban Bracelet 8"" 25 mm"	"http://www.avianneandco.com/store/catalog/product/view/id/5331/s/14k-yellow-gold-mens-cuban-bracelet-8-25-mm/"	"7167.0000"	"This large mens cuban bracelet is crafted in 14K yellow gold. The frame measures to 8 Inches in length and 1 Inches in width. Weighing approximately 158 grams, this large mens cuban bracelet securely locks with a durable box clasp and two safety latches. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br1588-3.jpg"	"Root Catalog>Mens>Root Catalog>Mens>Mens Gold Jewelry>Root Catalog>Mens>Mens Gold Jewelry>Mens Gold Bracelets"
"BR1681"	"14K Yellow Gold Womens Elephant Bracelet 7.5"" "	"http://www.avianneandco.com/store/catalog/product/view/id/5332/s/14k-yellow-gold-womens-elephant-bracelet-7-5/"	"917.0000"	"This womens elephant bracelet is crafted in 14K yellow gold. The link in the center measures to 1 1/2 inches in length and and the circle measures to 1/2 inches in diameter. The bracelet measures to 7 1/2 inches in length and weighs approximately 16.8 grams. This handmade womens elephant bracelet securely locks with a small box clasp closure and one safety latch. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br1681-4.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Women's Gold Jewelry>Root Catalog>Womens>Women's Gold Jewelry>Womens Gold Bracelets"
"BR7024"	"14K Yellow Gold Mens Fancy Bracelet 8.25"" 10 mm"	"http://www.avianneandco.com/store/catalog/product/view/id/5333/s/14k-yellow-gold-mens-fancy-bracelet-8-25-10-mm/"	"1434.0000"	"This fancy mens bracelet is crafted in 14K yellow gold. The frame measures to 8 Inches in length and 3/8 Inches in width. Weighing approximately 33.1 grams, this elegant mens bracelet securely locks with a durable lobster claw clasp. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br7024-3.jpg"	"Root Catalog>Mens>Root Catalog>Mens>Mens Gold Jewelry>Root Catalog>Mens>Mens Gold Jewelry>Mens Gold Bracelets"
"BR1195"	"14K Rose Gold Mens Bracelet 8.5"" 5 mm"	"http://www.avianneandco.com/store/catalog/product/view/id/5335/s/14k-rose-gold-mens-chain-8-5-5-mm/"	"834.0000"	"This handmade mens bracelet is crafted in 14K Rose Gold. The frame measures to 8 1/2 Inches in length and 3/16 Inches in width. Weighing approximately 19.5 grams, this one of a kind mens bracelet securely locks with a durable lobster claw clasp. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br1195-1.jpg"	"Root Catalog>Mens>Root Catalog>Mens>Mens Gold Jewelry>Root Catalog>Mens>Mens Gold Jewelry>Mens Gold Bracelets"
"BR1638"	"14K Two Tone Gold Mens Fancy Bracelet 8.5"" 4 mm"	"http://www.avianneandco.com/store/catalog/product/view/id/5343/s/14k-two-tone-gold-mens-fancy-bracelet-8-5-4-mm/"	"1020.0000"	"This elegant mens bracelet is crafted in both 14K yellow and white gold. The frame measures to 8 1/2 inches in length and 3/16 inches in width. Weighing approximately 16.3 grams, this one of a kind mens bracelet securely locks with a lobster claw clasp. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br1638-3.jpg"	"Root Catalog>Mens>Root Catalog>Mens>Mens Gold Jewelry>Root Catalog>Mens>Mens Gold Jewelry>Mens Gold Bracelets"
"BR281"	"14K Yellow Gold Mens Cuban Bracelet 8"" 5 mm"	"http://www.avianneandco.com/store/catalog/product/view/id/5394/s/14k-yellow-gold-mens-cuban-bracelet-8-5-mm/"	"910.0000"	"Simple yet elegant, this mens cuban bracelet is handcrafted in lustrous 14K yellow gold. Its frame measures to 8 Inches in length and 3/16 Inches in width. Weighing approximately 21 grams, this mens cuban bracelet securely locks with a small box clasp and one safety latch from the opposite side. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br281-1.jpg"	"Root Catalog>Mens>Root Catalog>Mens>Mens Gold Jewelry>Root Catalog>Mens>Mens Gold Jewelry>Mens Gold Bracelets"
"BR493"	"14K Yellow Gold Mens Cuban Bracelet 8.5"" 8 mm"	"http://www.avianneandco.com/store/catalog/product/view/id/5396/s/14k-yellow-gold-mens-cuban-bracelet-8-5-8-mm/"	"1867.0000"	"This elegant mens cuban bracelet is handcrafted in 14K yellow gold. The frame measures to 8 1/2 Inches in length and 5/16 Inches in width. Weighing approximately 43 grams, this mens bracelet securely locks with a durable box clasp and two safety latches both sides. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br493-1.jpg"	"Root Catalog>Mens>Root Catalog>Mens>Mens Gold Jewelry>Root Catalog>Mens>Mens Gold Jewelry>Mens Gold Bracelets"
"BR819"	"18K Yellow Gold Mens Cuban Bracelet 8.5"" 9 mm"	"http://www.avianneandco.com/store/catalog/product/view/id/5400/s/18k-yellow-gold-mens-cuban-bracelet-8-5-9-mm/"	"4734.0000"	"This one of a kind mens cuban bracelet measures to 8 1/2 Inches in length and 3/8 Inches in width. The frame is handcrafted in 18K yellow gold and weighs approximately 81 grams. Securely locking with a durable box clasp closure and two safety latches, this mens cuban bracelet is an ideal accessory for an every day casual wear."	"new"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br819-1.jpg"	"Root Catalog>Mens>Root Catalog>Mens>Mens Gold Jewelry>Root Catalog>Mens>Mens Gold Jewelry>Mens Gold Bracelets"
