Unique Merchant SKU	Product Name 	Product URL	Image URL	Current Price	Stock Availability	Condition	MPN/ISBN	UPC or EAN	Shipping Rate	Original Price	Coupon Code	Coupon Code Description	Brand / Manufacturer	Product Description 	Product Type	Category	Category ID
R2603	14K White Gold Womens Diamond Ring 1.50 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1245/s/14k-white-gold-womens-diamond-ring-1-50-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/2/r2603-1.jpg	1000	Yes	New				3000			Avianne & Co	This exquisite womens diamond ring is crafted in highly polished 14K White Gold. The center is divided into three sections and each section is prong set with four marquise cut diamonds and one bezel set round cut diamond. this womens diamond ring weighs approximately 5.6 grams. 			276
R01441	18K Yellow Gold Womens Diamond Tanzanite Ring 1.53 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1246/s/18k-yellow-gold-womens-diamond-tanzanite-ring-0-31-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/0/r01441-1.jpg	667	Yes	New				2001			Avianne & Co	This elegant womens tanzanite ring is crafted in highly polished 18K Yellow Gold. The center is bezel set with one tanzanite stone which totals to 1.22 carats. The sides of the band are highlighted with numerous small pave set round cut diamonds which total to 0.31 carats. This simple yet beautiful diamond gemstone ring is an ideal addition to your diamond collection.			276
R1325	14K Yellow Gold Womens Diamond Wedding Band 0.63 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1247/s/14k-yellow-gold-womens-diamond-wedding-band-0-63-ctw/	http://www.avianneandco.com/store/media/catalog/product//I/M/IMG_1930.JPG	334	Yes	New				1002			Avianne & Co	This elegant womens diamond wedding band is crafted in highly polished 14K Yellow Gold. The center is highlighted with numerous small pave set round cut diamonds. This simple diamond wedding band is an ideal gift at a very affordable price. 			276
RG5002	14K White Gold Womens Diamond Topaz Ring 1.10 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1248/s/14k-white-gold-womens-diamond-tanzanite-ring-0-35-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/g/rg5002-1_1.jpg	667	Yes	New				2001			Avianne & Co	This elegant womens diamond topaz ring is crafted in highly lustrous 14K White Gold. Blue topaz totaling to 0.75 carats is surrounded with eight small prong set round cut diamonds. This feminine diamond ring is an ideal addition to your diamond collection. 			276
R6237B	14K White Gold Womens Diamond Ring with Blue Diamonds 1.12 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1251/s/14k-white-gold-womens-diamond-ring-1-12-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/6/r6237b-1.jpg	1000	Yes	New				3000			Avianne & Co	This uniquely designed womens diamond ring is crafted in 14K White Gold. The center features princess cut and round cut blue diamonds which are carefully placed to form a shape of a buckle. This modern diamond ring is an ideal addition to your diamond collection.			276
R3120	14K Yellow Gold Womens Diamond Sapphire Ring 1.06 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1252/s/14k-yellow-gold-womens-diamond-sapphire-ring-0-06-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/3/r3120-1.jpg	500	Yes	New				1500			Avianne & Co	This elegant womens diamond sapphire  ring is crafted in highly polished 14K Yellow Gold. The beautiful center piece is prong set with small marquise cut blue sapphire stones which total to 1.00 carats. The side of the center piece is prong set with three small prong set round cut diamonds which total to 0.06 carats. This alluring womens diamond ring is an ideal addition to your diamond collection.			276
R1523	14K Yellow Gold Mens Diamond Pinky Ring 0.31 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1253/s/14k-yellow-gold-mens-diamond-ring-0-31-ctw/	http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_227.jpg	417	Yes	New				1251			Avianne & Co	This simple yet elegant mens diamond pinky ring is crafted in 14K Yellow Gold. The center is bezel set with one round cut diamond and surrounded with channel set small round cut diamonds. This unique mens diamond pinky ring is an ideal addition to your diamond collection. 			276
R2348	14K White Gold Womens Diamond Aquamarine RIng 2.25 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1254/s/14k-white-gold-womens-diamond-tanzanite-ring-0-25-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/2/r2348-1_1_1.jpg	1242	Yes	New				3726			Avianne & Co	This elegant womens diamond aquamarine ring is crafted in lustrous 14K White Gold. The center is prong set with an oval shape aquamarine which totals to 2.00 carats. The stone is surrounded with brilliant pave set round cut diamonds which total to 0.25 carats. This exquisite womens diamond ring is an ideal addition to any diamond collection.			276
ELD235	14K White Gold Womens Diamond Ring 0.65 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1255/s/14k-white-gold-womens-diamond-ring-0-65-ctw/	http://www.avianneandco.com/store/media/catalog/product//e/l/eld235-1.jpg	1250	Yes	New				3750			Avianne & Co	This exquisite womens diamond ring is crafted in lustrous 14K White Gold. The center is prong set with two large round cut diamonds and highlighted with smaller diamonds from both sides. This alluring womens diamond ring is an ideal diamond accessory which gleams with beauty and sophistication.			276
R4910	18K White Gold Womens Diamond Topaz Ring 1.51 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1256/s/18k-white-gold-womens-diamond-ring-1-06-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/4/r4910-1_1.jpg	1464	Yes	New				4392			Avianne & Co	"This alluring womens diamond topaz ring is crafted in lustrous 18K White Gold. The center features a prong set baguette cut blue topaz which total to 0.45 carats, This stone is surrounded with brilliant small prong set baguette and round cut diamonds which total to 1.06 carats.  This exquisite womens diamond ring is an ideal addition to any diamond collection."			276
RA0273	18K White Gold Womens Diamond Tanzanite Ring 1.91 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1257/s/18k-white-gold-womens-diamond-tanzanite-ring-0-37-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/a/ra0273-1_1.jpg	1000	Yes	New				3000			Avianne & Co	This alluring womens tanzanite  ring is crafted in highly polished 18K White Gold. The center features an oval shape pink tanzanite which totals to 1.54 carats. Both sides of the stone are highlighted with channel set small round cut diamonds which total to 0.37 carats. This simple yet elegant womens diamond ring is an ideal addition to your diamond collection.			276
