Category ID	Manufacturer	Title	Description	Product URL	Image URL	SKU	Availability	Condition	Ship Weight	Ship Cost	Bid	Promotional Code	UPC	Price
"30,010,106"	Avianne & Co	14K White Gold Colored Diamond Engagement Ring 2.27 ctw	"Very unique and delicate looking, this diamond engagement ring is sure to catch attention. Crafted in highly polished 14k gold and decorated with 2.27 carats of dazzling blue, yellow, and white princess and round cut diamonds. "	http://www.avianneandco.com/store/catalog/product/view/id/238/s/14k-white-gold-colored-diamond-engagement-ring-2-27-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/m/rm300-1.jpg	RM300	In Stock	New				5		1667
"30,010,106"	Avianne & Co	14K White Gold Mens Diamond Ring 0.57 Ctw 	"This simple and elegant mens diamond ring is crafted in 14K white gold. Carrying a total of 0.57 ctw, the center piece is set with brilliant VS1/VS2 invisibly set princess cut diamonds. The width of this center piece is approximately 18 mm. An ideal mens ring at a very affordable price. "	http://www.avianneandco.com/store/catalog/product/view/id/239/s/14k-white-gold-mens-diamond-ring-0-57-ctw/	http://www.avianneandco.com/store/media/catalog/product//R/5/R5920W_2.JPG	R5920W	In Stock	New				5		799
"30,010,106"	Avianne & Co	14K White Gold Mens Diamond Ring 2.17 Ctw 	" This masculine mens ring is crafted in 14K white gold.  Princess and Round cut Stones are VS2/SI1 in clarity and are invisibly and channel set in this regal design. The center piece measuring to 1 inch in width, carries a total weight of 2.17 carats of brilliant stones. "	http://www.avianneandco.com/store/catalog/product/view/id/240/s/14k-white-gold-mens-diamond-ring-2-17-ctw/	http://www.avianneandco.com/store/media/catalog/product//R/0/R009_2_2.jpg	R009	In Stock	New				5		1167
"30,010,106"	Avianne & Co	14K White Gold Mens Diamond Ring 2.50 Ctw 	"Possessing unique design, this mens diamond ring is crafted in 14k white gold.  The center piece features brilliant invisibly set princess cut diamonds, totaling to 2.50 ctw. These stones are SI1/SI2 in clarity and G/H in color. "	http://www.avianneandco.com/store/catalog/product/view/id/242/s/14k-white-gold-mens-diamond-ring-2-50-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/1/r1113-1.jpg	R1113	In Stock	New				5		1659
"30,010,106"	Avianne & Co	14K White Gold Mens Diamond Ring 1.75 Ctw	"This marvelous 14k white gold men's diamond ring possesses a unique design and a blinding luster. This ring features brilliant princess cut precious stones that are invisibly set. The sparkling round cut diamonds are pave set on both sides of the band. Totaling to 1.75 Ctw, these stones are H/I in color and SI1/SI3 in clarity. This is an ideal mens fashion ring which portrays uniqueness and beauty. "	http://www.avianneandco.com/store/catalog/product/view/id/244/s/14k-white-gold-mens-diamond-ring-1-75-ctw/	http://www.avianneandco.com/store/media/catalog/product//R/M/RM405_2.JPG	RM405	In Stock	New				5		1625
"30,010,106"	Avianne & Co	14K White Gold Mens Blue and Yellow Diamond Ring 1.29 Ctw	"Crafted in 14K white gold, this mens ring possesses very unique and simple style. The center piece consists of four screw motif designs with invisibly set princess cut yellow, blue and white diamonds. Both sides of the band feature pave set round cut diamonds in these three colors. Carrying a total carat weight of 1.29 ct, this ring weighs approximately 15 grams. "	http://www.avianneandco.com/store/catalog/product/view/id/249/s/14k-white-gold-mens-diamond-ring-1-29-ctw/	http://www.avianneandco.com/store/media/catalog/product//R/M/RM292_2.JPG	RM292	In Stock	New				5		1042
"30,010,106"	Avianne & Co	14K White Gold Mens Blue and Yellow Diamond Ring 1.13 Ctw 	"Crafted in highly polished 14K white gold, this mens ring features brilliant blue, white and yellow diamonds. The center piece consists of two screw motif designs with four princess cut diamonds in the center and a number of yellow round cut diamonds on both sides. Two sides of the band are highlighted with pave set blue round cut diamonds. This fashionable mens ring carries a total carat weight of 1.13 ctw and weighs approximately 11 grams. "	http://www.avianneandco.com/store/catalog/product/view/id/254/s/14k-white-gold-mens-diamond-ring-1-13-ctw/	http://www.avianneandco.com/store/media/catalog/product//R/M/RM295YB_2.JPG	RM295YB	In Stock	New				5		1367
"30,010,106"	Avianne & Co	14K White Gold Mens Blue Diamond Ring 0.90 Ctw 	This featured 14 karat white gold diamond ring is simple yet very refined. Featuring blue in color SI1/SI3 in clarity diamonds that are channel set in this regal design. The total carat weight of this  ring is 0.90 carats of sparkling precious stones. The width of the center piece is approximately 10mm. .This is an ideal ring for those who appreciate uniqueness and simplicity. 	http://www.avianneandco.com/store/catalog/product/view/id/255/s/14k-white-gold-mens-diamond-ring-0-90-ctw/	http://www.avianneandco.com/store/media/catalog/product//i/m/im-2_64.jpg	R5460B	In Stock	New				5		717
"30,010,106"	Avianne & Co	14K White Gold Diamond Engagement Ring 1.33 Ctw	"This fashion display of beauty is crafted in 14K white gold. The diamonds are H/I in color and SI1/SI3 in clarity. This ring features an invisible, pave, and bezel setting. These precious stones are princess, round and baguette cut in this regal design, with the total carat weight of 1.33 carats. This gorgeous engagement ring weighs approximately 7.8 grams. "	http://www.avianneandco.com/store/catalog/product/view/id/262/s/14k-white-gold-womens-engagement-ring-1-33-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/2/r244w-1.jpg	R244W	In Stock	New				5		1317
"30,010,106"	Avianne & Co	14K Rose Gold Diamond Bridal Ring Set 0.96 Ctw	These princess cut to perfection diamonds are invisible set  forming a one of a kind centerpiece dazzling with brilliance gently accentuated by the cluster of princess cut diamonds invisibly set along the shank and offset by classic rosegold topped off with a professional polished finish for a one of a kind diamond engagement ring set complete with a matching wedding band for a truly breathtaking bridal set. The total carat weight of these impressive rings is 0.96 carats. 	http://www.avianneandco.com/store/catalog/product/view/id/266/s/14k-rose-gold-womens-diamond-bridal-ring-set-0-96-ctw/	http://www.avianneandco.com/store/media/catalog/product//R/3/R3783C_1.jpg	R3783C	In Stock	New				5		917
