"No questions asked yet","No questions asked yet"
"No such product","No such product"
"No","No"
"Number of questions to display in the RSS feed","Number of questions to display in the RSS feed"
"Number of questions to display","Number of questions to display"
"Open product page in new window","Open product page in new window"
"Parse URLs as links when admin replies","Parse URLs as links when admin replies"
"Please select item(s)","Please select item(s)"
"Please select question(s)","Please select question(s)"
"Please specify valid email address","Please specify valid email address"
"Please, enter correct email address","Please, enter correct email address"
"Price","Price"
"Private","Private"
"Product Questions","Product Questions"
"Product error: %s","Product error: %s"
"Product questions","Product questions"
"Product title","Product title"
"Product","Product"
"Productquestions","Productquestions"
"Public","Public"
"Qty","Qty"
"Question details","Question details"
"Question form settings","Question form settings"
"Question text can\'t be empty","Question text can\'t be empty"
"Question text","Question text"
"Question was successfully deleted","Question was successfully deleted"
"Question was successfully saved","Question was successfully saved"
"Question","Question"
"Questions on %s","Questions on %s"
"Questions","Questions"
"RSS Feed Image","RSS Feed Image"
"RSS Feed Title","RSS Feed Title"
"RSS Feed","RSS Feed"
"RSS Questions to Show","RSS Questions to Show"
"Rating/Vote count","Rating/Vote count"
"Relative to current skin directory, e.g. images/rsslogo.jpg","Relative to current skin directory, e.g. images/rsslogo.jpg"
"Replied","Replied"
"Reply question #%d from %s <%s>","Reply question #%d from %s <%s>"
"Reply to your Product Question","Reply to your Product Question"
"Reply","Reply"
"Reply/Edit","Reply/Edit"
"SEO optimization","SEO optimization"
"SKU","SKU"
"Save And Continue Edit","Save And Continue Edit"
"Save And Send Email","Save And Send Email"
"Save","Save"
"Send Emails To","Send Emails To"
"Show in stores","Show in stores"
"Show on","Show on"
"Show this message instead of question form/link if the customer is not logged in","Show this message instead of question form/link if the customer is not logged in"
"Sort by","Sort by"
"%s: %s by %s","%s: %s by %s"
"Standard newsletter","Standard newsletter"
"Status","Status"
"Submit question","Submit question"
"Subscribe to newsletter segments","Subscribe to newsletter segments"
"Subscribe to newsletter","Subscribe to newsletter"
"Subscribe to newsletters","Subscribe to newsletters"
"The following macro fields are available:<br />
<strong>{product_name}</strong> - The Product name,<br />
<strong>{store_name}</strong> - The Store name<br />
<strong>{store_url}</strong> - the Store URL,<br />
<strong>{website_name}</strong> - the Website URL","The following macro fields are available:<br />
<strong>{product_name}</strong> - The Product name,<br />
<strong>{store_name}</strong> - The Store name<br />
<strong>{store_url}</strong> - the Store URL,<br />
<strong>{website_name}</strong> - the Website URL"
"The following macro fields are available:<br />
There was a problem with the newsletter subscription"","There was a problem with the newsletter subscription"
"The following macro fields are available:<br /><strong>{product_name}</strong> - The Product name,<br /><strong>{store_name}</strong> - The Store name<br /><strong>{store_url}</strong> - the Store URL,<br /><strong>{website_name}</strong> - the Website URL","The following macro fields are available:<br /><strong>{product_name}</strong> - The Product name,<br /><strong>{store_name}</strong> - The Store name<br /><strong>{store_url}</strong> - the Store URL,<br /><strong>{website_name}</strong> - the Website URL"
"There was a problem with the newsletter subscription","There was a problem with the newsletter subscription"
"Total of %d question(s) were successfully deleted","Total of %d question(s) were successfully deleted"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Unable to find a data to save","Unable to find a data to save"
"Unable to get the product ID.","Unable to get the product ID."
"Unable to post question. Please, try again later.","Unable to post question. Please, try again later."
"Unable to vote. Please, try again later.","Unable to vote. Please, try again later."
"Use <b>%D</b> to insert meta description","Use <b>%D</b> to insert meta description"
"Use <b>%T</b> to insert product title","Use <b>%T</b> to insert product title "
"View questions (%d)<br />","View questions (%d)<br />"
"Visibility","Visibility"
"Websites","Websites"
"XML","XML"
"Yes","Yes"
"You have already voted on this question!","You have already voted on this question!"
"You have been subscribed to newsletters","You have been subscribed to newsletters"
"Your question has been accepted for moderation","Your question has been accepted for moderation"
"Your reply","Your reply"
"Your voice has been accepted. Thank you!","Your voice has been accepted. Thank you!"
"AW Product Questions","AW Product Questions"
"Public answered questions","Public answered questions"
"Titles Link to:","Titles Link to:"
"product questions page","product questions page"
"product page","product page"
