"R125880"
""
"Box 1: ladies earring"
"Er23330 "
"Ercustom1"
"Er6515"
"Er8510"
"Er125401"
"Erd7515y"
"Er125410"
"Er070"
"Er2003"
"16030"
"Er1388"
"Er0119y"
"Er125413"
"Er6720"
"Er19449"
"Er125401"
"Er125546"
"Er125395 (17090)"
"Er126173"
"Er4150"
"Er125791"
"Er3425"
"Er9874"
"Er11510"
"Er45688"
"11551"
"Er4155"
"Er26043"
"er40530"
""
""
""
""
""
"Box 2 ; mens rings"
"R1237"
"Antonio target ring"
"Sb ring"
"Br25720"
"R25858"
"R11021"
"R1925"
"R857501"
"R1420"
"Julian ring"
"R4566"
"R1420 thick size 11"
"R4532"
"R25805"
"R35250"
"R45332 "
"R25802"
"R1420, raymanda ring"
"R8241"
"R1021"
"14609 eternity band"
"r5500d "
"R039yw"
"R125"
"R57035"
"R5500"
"R2414"
"R87125a"
"R87125"
"R125982"
"R126319"
"R1255"
""
""
""
"Box3; pendants nd pieces"
"P99876"
"Bmf piece"
"Vado un piece"
"Magnum piece"
"Izzy dog tag "
"Clifford piece"
"Dog tag with cross"
"Jesus swings"
"n4859"
""
""
""
""
"Box 4: bracelets"
"Cartier bangle screw"
"Br6230"
"Br125821"
"Br6230"
"Br126534"
"Br126190"
"Br11867"
"1477e"
"BR126718"
"BR26795"
"Br73550"
"Br74531"
"Br126402"
"Ch25737"
"Izzy prong bracelet"
"17240"
"BR4605"
"BR1361"
"BR7874"
"BSC8063"
"B126220"
"13118"
"BR0111"
"22042"
""
""
"Box 5:  pendants"
"P79014"
"Star of david with circle around"
"P237 bullet pendant"
"Cr5303"
"P1390"
"P1217"
"P-740-1 cross for rosary"
"P17142 larger hamsa"
"Newark police badge pendant"
"Pm220"
"Ch103"
"Tg15"
"Piano"
"P11139"
"P2210 flag pendant"
"Superman logo"
"Light boxing glove"
"P67075"
"P87101"
"Letter k from dsk"
"P1702"
"Letter d pendant"
"P1411"
"P11515"
"P7236"
"P5899"
"Cr2216a"
"p1279"
""
""
""
""
"Box 6: ladies pendants"
"P25103"
"Psc8037"
"P66702"
"P34467"
"P9065"
"P11569"
"P125686"
"Hart"
"P25675"
"P12212"
"Ingrid black pendant"
"P5010"
"P1521"
"P4521"
"P126059"
"Mezuzah"
"P4521"
"P39007a"
"P4675a"
"P34577"
"17101"
"P62714"
"Psc8040b"
"17234 gallery"
"P4118"
"p125669"
"FROG"
"p23345"
"psc8230a"
"13980  benz"
"17160"
""
""
""
"Box 7: ladies rings"
"Raymanda Davis ring"
"R7878"
"R45128"
"R31010"
"Ld-2277"
"R6543"
"R35010"
"r-363"
"R5559"
"R2515y"
"Rld120"
"R126388"
"R74211"
"R1509c"
"Rt2088y"
"R948c"
"R5972"
"R3518"
"R3811"
"R125597"
"R310105"
"R31014"
"R24112"
"R157707"
"R5020"
"R810c"
"R229"
